shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
as-darū́n	as-darun													изнутри		
as-díli ǰůn	as-dili jun													от всей души, чистосердечно, от полноты сердца	as díli ǰů́naθ xu γ̌i- nḗn qatī́r ba-išq náqli kinḗn сердечно и любовно разговаривают со своими женами	
as-pirṓ	as-piro													спереди		
as-pirṓ	as-piro													спереди		
as-rū́yi	as-ruyi													на основании, по причине, с целью		
as-rū́yi	as-ruyi													со стороны; на основании, по причине, с целью		
as-sarā́k-aθ	as-sarak-aθ													снова, опять, вновь		
as-vaǰ	as-vaj													снаружи		
as-wi-saharí	as-wi-sahari,as-wi-saruni	as-wi-sārůní												перед рассветом, рано утром	"x̌āb di tayṓr sat at, qarī́bi rux δêd ta as-wi-sārůní  lů́ven когда ночь кончится и приблизится рассвет, это время называют „as-wi-sārůni""."	
as-yū́ndaθ	as-yundaθ													отсюда, отсель		
as... -ti	as... -ti													с	as xêx̌-ti с ветвей	(предлог)
asál	asal													мед		
asal-civī́nc	asal-civinc													пчела		
asawúl	asawul													распорядитель на пиру		
asbṓb	asbob													инструмент, орудие, инвентарь		
asgír	asgir													крайний бык в запряжке во время молотьбы		
asīd	asid													в этом году, нынешний год		
askár	askar													войско, армия		
askarí	askari													военное дело, военная служба	wuz ar askarí dḗδum я поступлю на военную службу; wúz-um askarí lap žīwǰ я очень люблю военное дело	
ásli	asli													настоящий, подлинный, доподлинный, как раз		
ásli-zōt	asli-zot													благородного происхождения, родовитый		
aslidṓr	aslidor													благородный, породистый		
áslō	aslo													никак, никогда, ничуть, вовсе не..., совершенно не..., совсем не		(с последующим отрицанием)
asṓb čīdṓw	asob čidow													считать, вычислять		
asōb sittṓw	asob sittow													считаться		
asṓb, isṓb	asob,isob													счет		
ásri	asri													время после заката солнца (до наступления темноты)		
ašt	ašt													восемь		(только в заимствов. сочетаниях)
atā	ata													и, затем, потом; но, а, напротив, же		
atapúr	atapur													полный, наполненный (о земле, зерне)		
atṓ	ato													дар, подарок		(устар. Книжн.)
atṓ čidṓw	ato čidow													даровать		
atrát	atrat													гарнизон (< отряд)		
átri	atri													духи		
atyṓt	atyot													осторожность, бдительность		
atyṓt čīdṓw	atyot čidow													быть осторожным, бдительным		
avdā́	avda													семнадцать		
avḗn	aven													для, ради		
aví	avi													довольно, баста	a-rō, zulm wēv tīr bās aví! довольно тебе их угнетать! avi-yi! довольно! кончай! avi-yēt! довольно! кончайте!	
awalī́n	awalin													первый, первоначальный		
awalī́n bṓr	awalin bor													впервые		
awalů́n	awalun													как только, лишь только		
awás	awas													мечта, мечтание, страстное желание		
awás čīdṓw	awas čidow													мечтать, размечтаться; любоваться	xub awás-at čūd atā, nasī́b-ta turd na sůd хороши твои мечты, но осуществить тебе их не суждено; as rū́yi wēv tifōqí kōr čīdṓw mardúm tar wēv awás kix̌t люди любуются, глядя, как они дружно работают	
āwást	awast													восклицание, возглас (от неожиданности или испуга)	mu puc ðōd ar kicṓr xu, mund āwást sut мой сынишка свалился в очаг, и я вскрикнула; wam puc naw as x̌ār yáθč-at; tṓ-yi wi wīnt atā āwást wám-and sut ее сын только что вернулся из города; когда она его увидела, она вскрикнула	
awḗǰ	awej													вмешивающийся	tu-t fuk kṓr-ard awḗǰ! все до тебя касается! (ты во все вмешиваешься!)	
awēʒů́n	aweʒun													висячий, висящий, повисший		
awēʒů́n čīdṓw	aweʒun čidow													вешать		
awēʒů́n sittṓw	aweʒun sittow													повиснуть		
́āwgūst	awgust													август		(нов.)
awǰ	awj													энтузиазм, увлечение, подъем	gā waxt murd awǰ yōðd иногда я чувствую энтузиазм (подъем)	
awlí	awli													двор, усадьба, дом		
awlīyṓ	awliyo													святой		
awlṓd	awlod													потомство, род, племя		
awṓ	awo													воздух, погода	šíč-ta awṓ kix̌t сейчас ясно (хорошая погода)	
awṓ-bucák	awo-bucak													лучи солнца во время дождя, появление солнца перед окончанием дождя	ar waxt di awō-bucák ðōd, tā́m-ta awō kix̌t, bōrů́n áčaθ na ðēd когда появится солнце, установится погода, и больше дождя не будет	
