rus	shughni	bajuv	shakhdari	barvaz	gender	comment	collocation_rus
видеть	чис:чуx̌т, wин:wӣнт						
видимый	пеðо, пайдо						
виднеться	нимой:нимêйт						
виднеющийся	нимойẙн						
видный	нимойẙн, отаθ						
видоизменяться	гāрð:гāx̌т						
визг	wаɣɣаст				м		
вино	шароб, вӣно				ж		
виновато	x̌армандаwор	x̌арминдаwор					
виноватый	айбдор, гинāгор						
виновник	айбдор, гинāгор						
виновность	айбдори, гинāгори				м		
виновный	айбдор, ги/унāгор						
виноград	ангẙрð				ж		
виноградник	ангӯрðзор						
виноградный	ангӯрðин						
виночерпий	соqӣ, тамадā						
винт	марwат				м		
винтовка	цан				ж		
виола	гули-банаwшā				м		
виселица	дор				м		
висок	сийêʒ						
витой	печ дар печ						
вишневый (сад)	олболизор				м		
вишня	олболи				ж		
вкладывать	wеð: wеðд, писêз: писêзд						
включать	пиðин:пиðид						
вкратце	кутта-(θ), мухтасараθ						
вкруговую	гирд-аθ						
вкус	маззā, тāм				м		
вкусный	бамаззā, маззадор, шӣрӣн, (перен.) асал						
владелец	сойиб, шахси						
владение	сойиби м, тāwӣл						
владыка	раб(б)						
влажно	хист, wāзāн						
властвование	укмфармойи, окими				м		
влечение	гурм, шаwд, аwас						
вливать	кидêʒ:кидӯйд						
влиятельность	шаст, пурзарби				м		
влиятельный	пурзарб						
влюбленный	жӣwjчӯɣ̌j, ошиq, jайӯн, шайдо						
вместилище	зиндẙн, амбор						
вместо	амбоj, тан-анд, wарɣанд						
вмешательство	шаладах, тахсаx̌, jẙн-дāрðи				м		
вмешиваться	парwарθ:парwуx̌т						
вмешивающийся	шаладахкун						
вмещаться	wиз:wизд						
вмиг	курx̌аст, рамбат, фусаст, нафас-гад						
вминать	тāп:тāпт						
вмятина	qилуп						
вначале	аwwал(ẙн)						
внебрачный	арẙмзодā, qумойи						
внезапный	бехилӣw						
внеочередной	бенаwбат, шх. бенẙбат						
внешне	рӯфитӯрм(аθ), руфтирн						
вниз	(пи)бӣр/бун, тагов, калапой, рабāx̌						
внизу	(пи)бӣр/бун, тагов						
внимание	диqqат, урмат чалаx̌						
внимательно	хӣч, тāйӣн, бодиqqат						
вновь	во, аснаw						
вносить	wеð:wеðд						
внук	нибос, набӣрā				м		
внутренний	дарӯн, дохили						
внутренность	дарӯн(ā)				м		
внутри	дарӯн, дарӯнā, дохил, арẙд						
внутрь	дарӯн						
внучка	нибêс, набӣрā						
внушающий	жалость рāмаjин						
внушение	ташwӣqот						
внушительный	ба-йебат, тасирдор						
во-первых	аwwал(о)						
вовремя	ба-wахт, охир, wахтанд						
вода	x̌ац				ж		
водиться	ноɣ̌:нêɣ̌д, сāw:сут						
водка	шароб, водка				ж		
водовоз	x̌ац-вāрӣj, x̌ацвор, x̌ац-тāжӣj						
водоем	аwʒ ж, хāй, ниwêрʒ						
водонос	x̌ац-вāрӣj, x̌ацвор, x̌ац-тāжӣj						
водопад	шар-шарā, ригẙв						
водоросли	ɣоб				м		
водоскат	обɣалт						
водохлеб	x̌ац-бирêзӣj/ хор						
военный	арби						
вожак	сар(карðā)						
вождь	пеx̌wо, рā/обар						
возбуждение	масти				м		
возбужденный	маст(ẙнā), jайӯн						
возврат	рāдмеj						
возвращать	wижеб:wижӣвд, гарðен:гарðент						
возвращаться	wижифц:wижӣвд						
возвращающийся	ругарðӯн						
возвращение	(бар)гаx̌т, рāгарðӯн						
возглас	āwwаст, бẙнг						
воздаяние	сазо				м		
воздействие	тāсӣр				м		
воздержавшийся	бетараф						
воздержание	парез				м		
воздержанный	цемсер						
воздух	аwо				м		
возлюбленная	jẙнẙнā, мāбӯбā						
возлюбленный	котā, мāбӯб, калтā						
возмездие	qаст, qасос						
возмещение	убытков тоwẙн						
возможность	имкẙн, имкẙнийат, далӣл						
вознаграждение	музд				м		
возникший	пеðо, пайдо						
возня	ɣирсак, дафаjар, пойпойак						
возня	ɣирсак, дафаjар, пой-пойак						
возражающий	мухолиф, зид						
возраст	син(д)(ат сол), умри						
возчик	сена парвогāр						
возчик	аробакаx̌, аробадор, кирокаx̌						
возьми	ма, зêз: зоx̌т						
воинский	арби						
воинственный	ðêдгар						
вой	бирӯчак, бирӯwāн						
войлок	намад				ж		
войлочная	попона wурамā						
войлочный	намадин						
война	ðêд, jанг, ɣазо				м		
войско	наwкар, лиx̌кар, фаwj, сипо						
вокруг	гаргинӯx̌ā, гирд, пāли, кинорā						
вол	x̌ӣj						
волевой	сангпарчи						
волк	wӯрj			билӣсак			
волна	маwj, чилапов						
волновать	заqен:заqент						
волноваться	заq:заqт						
волнующийся	талwасагар						
воловья	шкура x̌ӣj-бẙст						
волокита	ошиqбоз						
волокуша	чапар				м		
волосатый	ɣӯнjин, ðоx̌цин						
волосяной	вирx̌ин						
волчица	wирʒин				ж		
волчок	фарфарак				м		
волчонок	wӯрjбуц				м		
волчья шкура	wӯрj-бẙст				м		
волшебник	сêргāр м, jоду						
волы	галагоw						
вольно	озодẙнā						
вольный	озод, халос, назарбанд						
воля	ихтийор				м		
вомарец	вẙмареj						
вонь	wāдух				м		
вонючий	ганда-бẙй						
вонять	тахц:тихт						
